,DateTime,Open,Close,Volume,date,time,slowsma,fastsma,Difference,scalars
0,2023-06-13 09:30:00-04:00,435.32,435.81,1891517.0,2023-06-13,09:30:00,432.8809523809524,433.6477777777778,0.4900000000000091,0.634877384196188
1,2023-06-13 09:35:00-04:00,435.82,436.5,1464907.0,2023-06-13,09:35:00,433.1085714285714,434.0133333333333,0.6800000000000068,0.6866485013624004
2,2023-06-13 09:40:00-04:00,436.49,436.61,1717526.0,2023-06-13,09:40:00,433.34380952380957,434.38666666666666,0.12000000000000455,0.5340599455040875
3,2023-06-13 09:45:00-04:00,436.62,436.12,1469486.0,2023-06-13,09:45:00,433.54761904761904,434.7088888888889,-0.5,0.36512261580381195
4,2023-06-13 09:50:00-04:00,436.12,436.01,1010666.0,2023-06-13,09:50:00,433.7519047619047,434.9944444444444,-0.11000000000001364,0.47138964577656145
5,2023-06-13 09:55:00-04:00,436.0,435.72,988183.0,2023-06-13,09:55:00,433.93476190476196,435.25333333333333,-0.2799999999999727,0.4250681198910135
6,2023-06-13 10:00:00-04:00,435.73,435.81,959533.0,2023-06-13,10:00:00,434.1133333333333,435.5188888888889,0.07999999999998408,0.5231607629427739
7,2023-06-13 10:05:00-04:00,435.8,435.52,1153053.0,2023-06-13,10:05:00,434.26809523809527,435.76666666666665,-0.28000000000002956,0.425068119890998
8,2023-06-13 10:10:00-04:00,435.49,435.28,1183356.0,2023-06-13,10:10:00,434.4,435.93111111111114,-0.21000000000003638,0.4441416893732852
9,2023-06-13 10:15:00-04:00,435.29,435.3,993944.0,2023-06-13,10:15:00,434.52476190476193,435.8744444444444,0.009999999999990905,0.5040871934604868
10,2023-06-13 10:20:00-04:00,435.31,435.39,746806.0,2023-06-13,10:20:00,434.6452380952381,435.7511111111111,0.07999999999998408,0.5231607629427739
11,2023-06-13 10:25:00-04:00,435.4,435.69,609039.0,2023-06-13,10:25:00,434.75952380952384,435.64888888888885,0.29000000000002046,0.580381471389651
12,2023-06-13 10:30:00-04:00,435.7,435.85,880049.0,2023-06-13,10:30:00,434.8871428571429,435.6188888888889,0.1500000000000341,0.5422343324250766
13,2023-06-13 10:35:00-04:00,435.84,436.08,642734.0,2023-06-13,10:35:00,435.0238095238095,435.6266666666667,0.2400000000000091,0.5667574931880128
14,2023-06-13 10:40:00-04:00,436.09,435.86,610949.0,2023-06-13,10:40:00,435.14809523809515,435.6422222222222,-0.22999999999996135,0.43869209809265164
15,2023-06-13 10:45:00-04:00,435.85,436.24,740902.0,2023-06-13,10:45:00,435.29190476190473,435.69,0.38999999999998636,0.6076294277929117
16,2023-06-13 10:50:00-04:00,436.24,436.11,575497.0,2023-06-13,10:50:00,435.4190476190476,435.7555555555556,-0.12999999999999545,0.4659400544959124
17,2023-06-13 10:55:00-04:00,436.12,436.0,490855.0,2023-06-13,10:55:00,435.54333333333335,435.83555555555563,-0.12000000000000455,0.46866485013623693
